alpha,coverage,macro_f1,avg_set_size,singleton_rate,tpr,fpr,coverage_1080Lines,coverage_1400Ripples,coverage_Air_Compressor,coverage_Blip,coverage_Chirp,coverage_Extremely_Loud,coverage_Helix,coverage_Koi_Fish,coverage_Light_Modulation,coverage_Low_Frequency_Burst,coverage_Low_Frequency_Lines,coverage_No_Glitch,coverage_None_of_the_Above,coverage_Paired_Doves,coverage_Power_Line,coverage_Repeating_Blips,coverage_Scattered_Light,coverage_Scratchy,coverage_Tomte,coverage_Violin_Mode,coverage_Wandering_Line,coverage_Whistle,setsize_1080Lines,setsize_1400Ripples,setsize_Air_Compressor,setsize_Blip,setsize_Chirp,setsize_Extremely_Loud,setsize_Helix,setsize_Koi_Fish,setsize_Light_Modulation,setsize_Low_Frequency_Burst,setsize_Low_Frequency_Lines,setsize_No_Glitch,setsize_None_of_the_Above,setsize_Paired_Doves,setsize_Power_Line,setsize_Repeating_Blips,setsize_Scattered_Light,setsize_Scratchy,setsize_Tomte,setsize_Violin_Mode,setsize_Wandering_Line,setsize_Whistle
0.01,0.990327,0.237052,11.218807,0.043835,0.990327,0.48707,0.991228,0.985564,0.986092,0.994631,0.989247,0.989348,0.981638,0.987671,0.992298,0.995989,0.992105,0.986859,0.989362,0.99336,0.992248,0.991892,0.989515,0.994543,0.985115,0.994638,0.996528,0.988048,9.719298,12.225722,13.920723,10.830872,14.541667,13.255659,12.980226,9.391781,12.543004,10.326203,11.302632,14.759527,10.780585,13.673307,6.5,11.189189,5.387942,5.993179,16.207037,10.946381,12.625,8.403718
0.0296,0.971715,0.315491,8.413555,0.087547,0.971715,0.354373,0.954887,0.973753,0.965229,0.969128,0.978495,0.9747,0.95904,0.968493,0.966624,0.981283,0.978947,0.963206,0.961436,0.98008,0.98708,0.977027,0.976409,0.982265,0.971583,0.97319,0.967014,0.966799,6.596491,9.070866,10.666203,8.530201,11.694892,9.829561,10.415254,6.182192,9.630295,7.143048,7.993421,11.881735,7.962766,10.614874,4.192506,8.694595,3.415465,4.069577,13.129905,8.323056,9.779514,5.977424
0.0492,0.952002,0.356902,7.142831,0.112342,0.952002,0.294801,0.926065,0.961942,0.955494,0.944966,0.961022,0.969374,0.943503,0.950685,0.942234,0.951872,0.952632,0.948752,0.944149,0.968127,0.965116,0.940541,0.952818,0.971351,0.953992,0.936997,0.947917,0.954847,5.299499,7.427822,9.05146,7.383893,10.418011,8.288948,9.117232,4.826027,8.314506,5.661765,6.546053,10.228647,6.662234,9.124834,3.481912,7.6,2.855832,3.435198,11.721245,7.009383,8.319444,5.003984
0.0688,0.933513,0.392434,6.25903,0.128811,0.933513,0.253596,0.904762,0.947507,0.93185,0.915436,0.930108,0.948069,0.932203,0.928767,0.919127,0.92246,0.943421,0.927727,0.933511,0.953519,0.947028,0.925676,0.926606,0.961801,0.935047,0.920912,0.940972,0.944223,4.511278,6.291339,8.079277,6.436242,9.373656,7.259654,8.110169,4.084932,7.409499,4.680481,5.492105,9.002628,5.845745,8.037185,3.062016,6.772973,2.550459,3.030014,10.504736,6.112601,7.225694,4.391766
0.0884,0.91435,0.423576,5.478083,0.150116,0.91435,0.217321,0.890977,0.917323,0.909597,0.887248,0.915323,0.926764,0.911017,0.913699,0.894737,0.910428,0.919737,0.906702,0.909574,0.940239,0.925065,0.909459,0.899083,0.956344,0.918809,0.908847,0.925347,0.924303,3.799499,5.262467,7.332406,5.543624,8.405914,6.291611,7.272599,3.446575,6.664955,3.80615,4.535526,7.950066,5.067819,7.037185,2.74031,6.002703,2.250328,2.742156,9.391069,5.292225,6.270833,3.924303
0.1,0.900514,0.442888,5.067467,0.162606,0.900514,0.198426,0.874687,0.902887,0.888734,0.875168,0.90457,0.904128,0.905367,0.90137,0.884467,0.893048,0.898684,0.884363,0.896277,0.930943,0.914729,0.9,0.879423,0.946794,0.903924,0.898123,0.918403,0.912351,3.452381,4.769029,6.94854,5.139597,7.862903,5.676431,6.747175,3.130137,6.2362,3.467914,4.088158,7.339028,4.655585,6.521912,2.582687,5.612162,2.083879,2.587995,8.699594,4.872654,5.807292,3.690571
0.108,0.891209,0.456853,4.765948,0.173319,0.891209,0.184511,0.869674,0.897638,0.874826,0.857718,0.899194,0.896138,0.89548,0.891781,0.878049,0.885027,0.892105,0.872536,0.888298,0.916335,0.901809,0.891892,0.870249,0.939973,0.893099,0.88874,0.90625,0.90571,3.216792,4.469816,6.675939,4.774497,7.412634,5.303595,6.402542,2.878082,5.858793,3.248663,3.789474,6.823916,4.398936,6.142098,2.46124,5.333784,1.982962,2.46794,8.161028,4.548257,5.454861,3.512616
0.1276,0.868618,0.488855,4.243419,0.192727,0.868618,0.160705,0.847118,0.867454,0.844228,0.837584,0.870968,0.865513,0.881356,0.873973,0.860077,0.868984,0.868421,0.848883,0.871011,0.901726,0.881137,0.874324,0.840105,0.929059,0.868742,0.867292,0.883681,0.864542,2.845865,3.877953,6.069541,4.255034,6.520161,4.684421,5.69209,2.567123,5.198973,2.907754,3.307895,6.04205,3.928191,5.478088,2.251938,4.858108,1.832241,2.230559,7.239513,4.013405,4.814236,3.15405
0.1472,0.848843,0.520274,3.778989,0.219971,0.848843,0.139531,0.838346,0.846457,0.824757,0.821477,0.856183,0.849534,0.858757,0.861644,0.838254,0.852941,0.851316,0.833114,0.855053,0.888446,0.860465,0.82973,0.821756,0.904502,0.849797,0.844504,0.848958,0.840637,2.561404,3.447507,5.314325,3.744966,5.862903,4.12783,4.978814,2.3,4.684211,2.542781,2.848684,5.362681,3.485372,4.828685,2.01938,4.395946,1.699869,2.036835,6.529093,3.591153,4.286458,2.848606
0.1668,0.83164,0.541571,3.476185,0.238888,0.83164,0.125931,0.817043,0.832021,0.806676,0.805369,0.841398,0.833555,0.834746,0.853425,0.818999,0.84492,0.828947,0.816032,0.832447,0.876494,0.844961,0.810811,0.798165,0.88131,0.828146,0.83244,0.836806,0.824701,2.37218,3.188976,4.759388,3.437584,5.481183,3.743009,4.507062,2.138356,4.370988,2.304813,2.538158,4.926413,3.171543,4.406375,1.868217,4.097297,1.600262,1.866303,6.048714,3.348525,3.949653,2.673307
